Station Code,Distance from VP,Services from/to VP,Disruptions on path to VP
WM,118,0.0,834
WP,88,0.0,550
WR,230,0.0,188
WS,208,0.0,179
WSM,192,0.0,165
WT,128,0.0,416
WTV,9,0.0,3
WV,125,0.0,96
WW,68,0.0,20
WWW,67,0.0,20
WZ,79,0.0,96
YPB,117,0.0,334
ZA,28,0.0,272
ZB,195,0.0,173
ZBM,71,0.0,318
ZD,112,0.0,831
ZDK,115,0.0,834
ZH,188,0.0,164
ZL,70,0.0,82
ZLSH,75,0.0,96
ZLW,126,0.0,727
ZP,23,32.516129032258064,6
ZTM,112,0.0,331
ZTMO,111,0.0,416
ZV,18,0.0,6
ZVB,134,0.0,732
ZVT,129,0.0,847
ZWD,113,0.0,467
ZZS,115,0.0,834
